Average RunTime,RandomWalkLength,RandomWalkStart,Improvement
20343,1,3,best
134217,1,2,best
7083,1,4,best
147213,1,3,first
226539,1,2,first
85464,1,4,first
86935,1,5,best
131059,1,5,first
150919,2,4,best
103211,1,6,best
243174,2,3,best
152617,2,5,best
150453,3,6,best
243298,3,5,best
149220,1,6,first
198988,2,4,first
257922,3,4,best
353382,1,1,best
291145,4,4,best
98480,1,8,best
275876,2,3,first
148588,1,7,best
135946,2,6,best
320339,2,2,best
384496,3,2,best
400000,2,1,best
275651,4,5,best
304080,5,5,best
245056,3,6,first
274544,5,6,best
217819,2,5,first
400000,3,1,best
139585,1,8,first
292006,5,4,best
320059,4,4,first
276047,3,4,first
400000,4,2,best
216553,2,7,best
320055,6,4,best
305858,3,3,best
320429,5,3,best
276088,4,5,first
320028,3,5,first
337892,7,3,best
259473,4,6,best
135853,1,7,first
290536,5,5,first
291159,6,6,best
400000,2,1,first
276139,5,6,first
155232,1,9,best
400000,4,1,best
304667,7,4,best
185997,2,7,first
320296,4,3,best
217653,2,6,first
200836,3,8,best
246818,2,8,best
199113,1,10,best
320114,6,5,best
262993,4,8,best
198357,2,9,best
384654,6,3,best
386148,3,2,first
305382,2,2,first
304755,7,5,best
320048,5,4,first
290277,6,4,first
400000,1,1,first
218699,1,9,first
320980,11,4,best
337435,7,3,first
320073,9,5,best
304956,6,6,first
320214,10,4,best
400000,3,1,first
232260,2,8,first
305206,7,6,best
246887,3,7,best
386156,8,3,best
274900,5,8,best
320070,8,5,best
320205,8,4,best
320112,3,3,first
218053,3,8,first
400000,5,2,best
306346,4,6,first
290969,4,7,best
400000,4,1,first
400000,6,1,best
400000,5,1,best
214610,2,9,first
400000,6,2,best
400000,4,2,first
320165,10,5,best
320179,4,3,first
258881,3,9,best
320325,5,3,first
320052,9,4,best
263780,4,8,first
400000,9,2,best
338270,9,3,best
204382,1,10,first
259991,4,9,best
400000,8,2,best
261618,3,7,first
292709,7,8,best
320110,7,4,first
187219,1,11,best
323259,6,3,first
304927,11,6,best
169554,1,12,best
304580,7,6,first
320043,8,6,best
306010,5,8,first
290044,6,7,best
325649,12,4,best
291537,7,7,best
370728,10,3,best
306329,5,7,best
320926,11,4,first
400000,7,1,best
320057,9,5,first
321896,13,4,best
304416,7,5,first
306125,8,8,best
173008,2,11,best
384217,8,3,first
305784,12,6,best
400000,7,2,best
320076,8,5,first
305918,6,5,first
320046,9,6,best
320512,10,4,first
231909,3,10,best
400000,6,1,first
400000,5,1,first
400000,10,1,best
278670,7,8,first
233469,2,10,best
400000,6,2,first
304793,4,7,first
400000,8,1,best
229976,1,12,first
320742,11,6,first
385979,16,3,best
320261,10,5,first
275102,4,9,first
400000,13,3,best
321677,6,8,best
278146,9,8,best
400000,14,3,best
384026,11,3,best
217386,1,13,best
292901,3,9,first
320834,5,9,best
304534,10,6,best
400000,8,2,first
320727,8,4,first
400000,9,2,first
369899,9,3,first
400000,12,3,best
173823,1,11,first
400000,10,2,best
