Average RunTime,RandomWalkLength,RandomWalkStart,Improvement
24400,1,3,best
161002,1,2,best
8493,1,4,best
176642,1,3,first
271824,1,2,first
102543,1,4,first
104307,1,5,best
157253,1,5,first
181080,2,4,best
123836,1,6,best
291793,2,3,best
183113,2,5,best
180531,3,6,best
291947,3,5,best
179052,1,6,first
238771,2,4,first
309496,3,4,best
390677,1,1,best
349342,4,4,best
118086,1,8,best
331026,2,3,first
178255,1,7,best
163118,2,6,best
384068,2,2,best
396899,3,2,best
400000,2,1,best
330755,4,5,best
364855,5,5,best
294057,3,6,first
329414,5,6,best
261374,2,5,first
400000,3,1,best
167149,1,8,first
350354,5,4,best
384012,4,4,first
331231,3,4,first
400000,4,2,best
259802,2,7,best
384011,6,4,best
366980,3,3,best
384086,5,3,best
331290,4,5,first
384006,3,5,first
387578,7,3,best
311327,4,6,best
162997,1,7,first
348590,5,5,first
349370,6,6,best
400000,2,1,first
331346,5,6,first
186106,1,9,best
400000,4,1,best
365518,7,4,best
223101,2,7,first
384059,4,3,best
261162,2,6,first
240530,3,8,best
295193,2,8,best
238430,1,10,best
384022,6,5,best
314464,4,8,best
237209,2,9,best
396931,6,3,best
397230,3,2,first
365118,2,2,first
365674,7,5,best
384010,5,4,first
348280,6,4,first
400000,1,1,first
262098,1,9,first
384196,11,4,best
387487,7,3,first
384014,9,5,best
365930,6,6,first
384043,10,4,best
400000,3,1,first
278443,2,8,first
366211,7,6,best
296149,3,7,best
397231,8,3,best
329061,5,8,best
384014,8,5,best
384041,8,4,best
384022,3,3,first
260511,3,8,first
400000,5,2,best
367589,4,6,first
348939,4,7,best
400000,4,1,first
400000,6,1,best
400000,5,1,best
257095,2,9,first
400000,6,2,best
400000,4,2,first
384033,10,5,best
384036,4,3,first
309793,3,9,best
384065,5,3,first
384010,9,4,best
315697,4,8,first
400000,9,2,best
387654,9,3,best
244841,1,10,first
311786,4,9,best
400000,8,2,best
313872,3,7,first
350413,7,8,best
384022,7,4,first
223312,1,11,best
384652,6,3,first
365825,11,6,best
202846,1,12,best
365471,7,6,first
384009,8,6,best
366403,5,8,first
347227,6,7,best
385130,12,4,best
348954,7,7,best
394146,10,3,best
367357,5,7,best
384186,11,4,first
400000,7,1,best
384011,9,5,first
384379,13,4,best
365258,7,5,first
366514,8,8,best
206592,2,11,best
396843,8,3,first
366471,12,6,best
400000,7,2,best
384015,8,5,first
367080,6,5,first
384010,9,6,best
384102,10,4,first
277749,3,10,best
400000,6,1,first
400000,5,1,first
400000,10,1,best
332278,7,8,first
279398,2,10,best
400000,6,2,first
365451,4,7,first
400000,8,1,best
274870,1,12,first
384149,11,6,first
397196,16,3,best
384052,10,5,first
329574,4,9,first
400000,13,3,best
384335,6,8,best
332275,9,8,best
400000,14,3,best
396805,11,3,best
260274,1,13,best
350598,3,9,first
384166,5,9,best
365351,10,6,best
400000,8,2,first
384146,8,4,first
400000,9,2,first
393980,9,3,first
400000,12,3,best
206636,1,11,first
400000,10,2,best
384004,8,6,first
332413,5,7,first
384006,11,5,best
314613,2,11,first
384050,8,7,best
384816,12,4,first
396859,10,3,first
400000,9,1,best
384358,14,5,best
397084,16,4,best
384094,13,6,best
400000,5,2,first
400000,7,2,first
296227,1,14,best
400000,15,3,best
312208,8,8,first
384301,15,5,best
400000,18,3,best
397269,13,3,first
384234,11,8,best
384595,10,8,best
384085,7,7,first
384208,16,6,best
366618,6,9,best
384126,12,6,first
387757,17,4,best
384031,9,4,first
384008,9,6,first
385059,13,4,first
400000,7,1,first
384102,13,5,best
366220,6,7,first
400000,13,1,best
366118,9,8,first
400000,12,1,best
365749,5,9,first
396907,11,2,best
384479,9,7,best
400000,12,2,best
348363,8,9,best
394231,15,4,best
277789,3,10,first
384020,11,5,first
292972,4,11,best
394231,11,3,first
295630,2,10,first
331418,3,11,best
365716,10,6,first
397044,14,3,first
400000,13,2,best
393847,19,4,best
391262,12,3,first
262376,2,12,best
396869,20,3,best
384154,15,6,best
384534,10,7,best
384169,7,9,best
384387,11,7,best
384270,17,5,best
400000,10,2,first
273632,1,14,first
400000,21,3,best
397146,20,4,best
313191,1,13,first
384255,15,5,first
314698,2,13,best
400000,14,2,best
384239,13,6,first
400000,14,1,best
400000,16,4,first
397199,18,4,best
380692,14,8,best
400000,16,2,best
366814,6,8,first
400000,11,1,best
276847,3,12,best
400000,10,1,first
384166,16,5,best
400000,15,3,first
400000,16,3,first
384146,13,8,best
329840,5,11,best
400000,19,3,best
384673,19,6,best
400000,8,1,first
394227,22,3,best
365893,11,8,first
384391,12,7,best
384256,15,7,best
314131,6,11,best
400000,12,1,first
384050,13,5,first
298147,1,15,best
384475,16,6,first
369230,16,8,best
390865,15,4,first
387862,15,8,best
384649,18,6,best
400000,18,3,first
348754,4,10,best
384174,8,9,first
384082,12,5,best
367685,8,7,first
367671,10,9,best
384309,14,7,best
400000,20,2,best
400000,9,1,first
384293,9,9,best
366409,9,7,first
400000,17,2,best
298753,2,12,first
384415,14,5,first
400000,24,3,best
400000,13,2,first
400000,11,2,first
400000,18,2,best
400000,13,1,first
367239,11,7,first
331994,2,14,best
384171,18,5,best
400000,19,2,best
400000,25,3,best
348720,7,9,first
366804,6,9,first
396956,21,4,best
384546,13,7,best
393995,22,4,best
396950,21,3,first
384233,10,8,first
400000,23,3,best
397260,17,4,first
278732,4,13,best
400000,23,4,best
384748,20,6,best
397272,20,3,first
347828,4,11,first
349864,2,16,best
393942,14,4,best
400000,14,2,first
314328,1,17,best
384018,14,6,best
331425,3,11,first
400000,24,4,best
367088,14,8,first
313581,3,14,best
397068,17,3,best
400000,16,1,best
400000,11,1,first
384688,17,8,best
400000,16,2,first
384459,13,8,first
265368,1,15,first
396989,12,2,first
384418,17,5,first
384727,16,5,first
369402,4,14,best
366693,1,16,best
387576,19,6,first
400000,27,3,best
400000,15,1,best
312135,4,10,first
366760,5,10,best
384763,19,5,best
400000,17,1,best
400000,14,1,first
264247,2,13,first
384749,21,6,best
347507,3,13,best
391065,19,4,first
349837,2,15,best
387998,19,8,best
384159,10,7,first
384150,15,6,first
384456,17,6,best
351363,12,7,first
333360,3,16,best
384101,12,9,best
348742,5,11,first
388302,24,5,best
367262,9,9,first
396958,20,4,first
387634,18,8,best
388103,18,6,first
387615,20,5,best
384819,21,5,best
384826,17,7,best
400000,18,1,best
397179,28,3,best
397197,30,3,best
400000,20,2,first
332813,12,8,best
384634,18,5,first
400000,18,4,first
366373,3,12,first
394390,21,4,first
385084,14,7,first
283009,5,14,best
400000,26,3,best
384038,12,5,first
367586,15,8,first
397042,19,3,first
349078,1,18,best
295689,4,12,best
349270,10,9,first
259166,4,14,first
400000,22,4,first
400000,22,3,first
393940,24,4,first
393952,28,4,best
400000,25,3,first
348542,2,17,best
384862,15,7,first
390858,23,4,first
278754,3,14,first
396989,14,4,first
348466,6,11,first
400000,21,2,best
366109,8,11,best
400000,15,2,best
350278,5,13,best
384086,14,6,first
384651,21,8,best
311617,5,16,best
367434,11,9,best
400000,18,2,first
384338,14,9,best
330320,1,17,first
366288,17,8,first
384472,23,5,best
400000,16,1,first
384465,16,8,first
384138,20,6,first
387715,20,7,best
365510,13,7,first
400000,26,4,best
350941,4,16,best
384539,16,9,best
400000,25,2,best
400000,20,1,best
350960,5,10,first
380575,22,8,best
400000,17,2,first
393871,27,4,best
400000,21,1,best
384498,16,7,best
328436,5,14,first
365286,3,15,best
384387,17,6,first
365932,1,16,first
385044,21,7,best
397266,24,3,first
346654,2,16,first
400000,27,2,best
400000,22,1,best
368106,2,14,first
400000,23,2,best
384976,18,7,best
350000,5,15,best
397035,30,4,best
387513,13,9,best
387582,19,8,first
348960,3,13,first
387511,25,6,best
400000,19,2,first
400000,24,2,best
388030,24,5,first
349027,7,13,best
397120,27,3,first
391274,19,5,first
348778,7,11,best
400000,26,2,best
400000,17,1,first
365913,6,10,best
351029,4,15,best
365720,5,12,best
388374,23,6,best
385497,20,8,best
384769,26,6,best
295114,1,19,best
348547,4,13,first
400000,23,3,first
388155,17,7,first
400000,31,3,best
349255,6,16,best
331225,5,16,first
367922,17,9,best
384834,22,6,best
348496,2,17,first
400000,30,3,first
332314,6,14,best
348547,9,11,best
400000,17,3,first
296217,4,12,first
384423,6,13,best
311295,9,14,best
390826,30,5,best
391624,26,5,best
394161,29,5,best
400000,34,3,best
397027,28,5,best
384249,19,7,best
384254,12,9,first
400000,28,4,first
349296,8,11,first
400000,35,4,best
400000,23,1,best
384667,18,9,best
387604,25,7,best
393970,36,4,best
400000,15,1,first
394325,25,4,best
329914,3,17,best
384622,18,8,first
400000,24,1,best
400000,21,2,first
385099,24,7,best
384588,21,8,first
384222,8,10,best
348963,3,16,first
384979,21,6,first
